text_id,text
about_desc,"OSGA (One Site to Grieve them All / Un Site pour les Honorer Tous) a pour but d'offrir un lieu à tous les amateurs de séries TV, de films ou de livres qui ont besoin de faire le deuil de leurs personnages préférés. Chaque univers a son propre cimetière, dans lequel vous pourrez trouver la tombe du personnage que vous cherchez. L'idée de ce site provient en partie du cimetière de Game of Thrones publié sur le site Slate en 2013, où il était déjà possible de déposer des fleurs sur les tombes des personnages de cette série. OSGA a étendu l'idée à d'autres séries et univers et y a ajouté d'autres fonctionnalités, notamment la possibilité de faire un compte utilisateur pour ajouter des messages sur la tombe de ses personnages préférés, ou d'avoir une liste de séries anti-spoil.<br><br>Le projet OSGA a débuté en mai 2020 en tant que projet étudiant durant le cours Web App de la mineur Fulltime Programmeren (programmation à temps plein) de l'Université d'Amsterdam.<br><br>"
team_title,"À propos de l'équipe"
team_desc,"Pour le moment, <i>l'équipe</i> consitste seulement en une personne (Charlotte, à l'origine de ce site), mais si OSGA grandit (davantage de séries, d'utilisateurs, de personnages à ajouter et de commentaires à modérer), il y aura sûrement besoin de modérateurs ! :)"
acknowledgments_title,"Remerciements"
acknowledgments_desc,"Ce site n'a été fait que par une personne, mais clairement, il n'existerait pas sans le support d'un paquet d'autres gens !<br>J'aimerais donc en profiter pour remercier toutes les personnes impliquées et dont je suis extrêmeent reconnaissante d'avoir rendu l'existence d'OSGA possible :
<ul><li>Toute l'équipe de la mineur Fulltime Programmeren, pour son aide apportée malgré les temps durs des début de pandémie COVID ! Mention spéciale à Rebecca pour ton enthousiasme envers OSGA, ainsi qu'à Martijn, Quinten et Marijn, pour votre implication directe ou indirecte; sans vous je n'aurais jamais eu la motivation, les connaissances et les capacités de faire aboutir ce projet !
</li><li>Grégoire et Charly pour les astuces de CSS, les tests et retours, et pour m'avoir prouvé que Javascript n'était vraiment pas si nul que ça (voilà, je l'ai dit).</li><li>Sacha et Victoire pour les tests de sécurité et de fonctionnalités utilisateurs.</li><li>Tous les gens qui ont soutenu le projet de manière enthousiaste dès que j'ai commencé à en parler ! Notamment : Lucie, Louise, Pauline, Wilco (aussi pour le soutien moral !), Julie, Alexandra et mes parents (coucou !).</li></ul>Merci à tous :)"
attribution_title,"Attribution"
attribution_desc,"Les images de fleurs et de manuscrit sont sous licence CC-BY 4.0. Source: <a href='https://github.com/twitter/twemoji'>Twemoji</a>."
