text_id,text
reset_password_label,"Reset password"
fill_new_password_message,"Please fill it here under as well as your e-mail address and your new password."
email_address_label,"E-mail address"
confirmation_code_label,"Confirmation code"
password_and_confirmation_label,"Password and confirmation"
confirm_password_creation_label,"Confirm password creation"
fill_email_address_message," Please fill your e-mail address here under. We will send you a unique confirmation code to allow you to change your password."
send_confirmation_code_label,"Send confirmation code"
