text_id,text
main,"OSGA: One Site to Grieve them All"
about,"About OSGA"
admin_panel,"OSGA - Admin Panel"
confirm_registration,"OSGA Registration Confirmation"
contact,"Contact OSGA"
contribute,"Contribute to OSGA"
new_password,"OSGA - Reset your password"
register,"OSGA - Register"
terms,"OSGA - Terms and Conditions"
user_panel,"OSGA - User Panel"
